RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
P,1091,1,105,11,1001264,91,57,1,,2,2,2,2,2,2,,,2,1,,2,,,1,1,2,2,2,2,2,90,5,,10,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,22,0,1,0,0,102000,50,1,1,1,,1,50,999,,2,,,1,0,1501,,1,1,9170,104,64,625,100,11,6,813M,1,,0,420,,102000,102090,48,501,100,11,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,119151,,1
P,1213,1,104,11,1001264,156,34,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,20,1,1,2,1,2,2,1,2,2007,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,19,0,2,0,0,39000,40,1,1,1,,1,903,999,,2,1,,1,0,,,1,1,6370,74,31,,,,1,491,1,,0,5540,3,39000,39000,10,308,100,11,1,2,1,2,2,2,0,0,1,0,1,0,0,0,0,,,,,435051,,1
P,1213,2,104,11,1001264,167,34,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,20,1,1,2,1,2,2,1,2,2007,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,16,0,1,0,0,35000,40,1,1,1,,1,903,999,,2,1,,1,0,,,1,1,8660,89,46,,,,1,7211,1,,0,4220,,35000,35000,45,308,100,11,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,,,,,37201X,,1
P,1213,3,104,11,1001264,129,7,1,,,2,2,2,,2,,,2,,,,,,1,2,2,2,2,2,2,,,,,2,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,4,4,,2,,,,,,,,,1,903,999,,2,,1,,0,,,1,1,,,,,,,,,1,1,1,,,,,11,308,,,1,2,2,2,2,2,0,0,1,0,1,0,0,0,1,,,,,,,1
P,1213,4,104,11,1001264,217,2,1,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,1,903,999,,2,,1,,0,,,1,1,,,,,,,,,1,1,1,,,,,11,308,,,1,2,3,2,2,2,0,0,1,0,1,0,0,0,1,,,,,,,1
P,1326,1,101,11,1001264,92,20,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,17,0,3,15,19,0,1,0,0,1100,18,1,5,2,,2,271,142,,2,,,6,0,,,1,4,5380,,,,,,6,45211,1,,0,4720,,1100,1100,17,,,,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,412010,,1
P,1592,1,101,11,1001264,36,51,5,,5,2,2,2,2,2,,,2,1,,2,,,1,2,2,2,2,2,2,0,20,3,1,1,1,2,2,1,2,2005,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,24,0,2,0,0,160000,40,1,1,1,1998,1,221,999,6,2,3,,1,0,5404,,1,6,6890,92,49,625,,,1,522M,2,,0,4820,2,160000,160000,311,501,100,11,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,413031,,3
P,1592,2,101,11,1001264,58,62,4,2000,5,2,2,2,2,2,,,2,2,,2,,,1,2,2,2,2,2,2,0,,,11,1,1,2,2,2,2,2005,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,24,0,1,0,0,40000,50,1,6,1,2001,1,233,999,7,2,,,1,0,3700,,1,15,9590,,,625,,,1,928P,2,,0,1800,,40000,40000,363,501,100,11,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,193011,,3
P,1592,3,101,11,1001264,34,12,1,,,2,2,2,,2,,,2,1,,,,,1,2,2,2,2,2,2,,,,,1,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,3,9,10,,2,,,,,,,,,2,221,233,,2,,1,,0,,,1,15,,,,625,,,,,1,4,1,,,,,11,501,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1
P,1592,4,101,11,1001264,41,9,3,,,2,2,2,,2,,,2,1,,,,,1,2,2,2,2,2,2,,,,,1,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,3,6,7,,1,,,,,,,,2008,2,221,233,7,2,,1,,0,,,1,6,,,,625,,,,,1,4,1,,,,,109,501,,,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,5
